id	room_id	class_name	al_type	sex	seat_pos	usefulness	convience	temp	light	teacher_voice	noise	legibility	room_size	room_crowd	teacher_dist	student_dist	atmosphere	express	communication	ownership	contribution	motivation	lesson_care	attention_easy	tired_easy	cool_al	ict_plenty	chair_easy	ceil_height
1	环境综合馆（環境講３）	持续可能na发展	"小组讨论, 学生发表, 与观点不同的人讨论, 教授其他学生知识/通过其他学生习得知识, 与其他学生配对进行课题"	女	6	非常有用	有点不便	有点热/冷	比较暗/亮	一般		有点不容易看清	比较过大/过小	比较不合适	有点不好	比较好	还可以	非常容易说出	还可以	一般	非常多	变强了很多	比较强	较为容易	比较不容易	非常有序	比较差	有点难用	有点高/低
2	"国际栋（国際言語センター）2F: ILC.201, ILC.206, ILC.207　3F: ILC.301, ILC.302, ILC.308"	综合日语	"小组讨论, 学生发表, 与其他学生配对进行课题"	男	6	比较有用	比较方便	比较舒适	比较舒适	比较清晰		比较清楚	比较合适	比较合适	比较好	非常好	比较好	非常容易说出	非常顺畅	非常强	非常多	变强了一些	比较强	还可以	还可以	比较有序	比较完备	比较容易	比较合适
3	Ib012	Advance lecture of academy scientific English	"与观点不同的人讨论, 与其他学生配对进行课题"	男	3	比较有用	比较方便	比较舒适	非常舒适	非常清晰		非常清楚	有点过大/过小	非常合适	比较好	非常好	非常好	非常容易说出	非常顺畅	一般	还可以	没变化	还可以	较为容易	比较不容易	比较有序	比较完备	比较容易	比较合适
4	第三講義室（環境講３(総合館0326)）	住まいと環境	在课前预习的情况下，进行讨论	女	6	有一点用处	有一点方便	有点热/冷	比较舒适	比较清晰		比较清楚	比较合适	比较合适	比较好	比较好	还可以	比较容易说出	比较顺畅	还可以	一般	变强了一些	比较强	较为容易	一般	还可以	比较完备	比较容易	比较合适
5	教育G（01002-0266）	社会心理学	学生发表	女	8	有一点用处	比较方便	比较舒适	相对好一点	非常清晰		非常清楚	非常合适	非常合适	非常好	非常好	比较好	非常容易说出	非常顺畅	比较强	还可以	变强了一些	还可以	较为容易	比较不容易	比较有序	比较完备	还可以	还可以
6	情报楼第五讲义室（385-0414）	社会学講義	学生发表	女	8	有一点用处	比较方便	有点热/冷	比较舒适	比较清晰		比较清楚	一般偏好	还可以	比较好	比较好	比较好	比较容易说出	比较顺畅	还可以	一般	变强了一些	比较强	还可以	一般	比较有序	非常完备	比较容易	非常合适
7	アジア法交流館（mmp实在是查不到在哪，再找人问问）	cross culture talk	"小组讨论, 学生发表, 与观点不同的人讨论, 与其他学生配对进行课题"	女	6	比较有用	比较方便	非常舒适	非常舒适	非常清晰		非常清楚	有点过大/过小	还可以	比较好	比较好	比较好	比较容易说出	比较顺畅	还可以	比较多	没变化	还可以	较为容易	还可以	比较有序	比较完备	还可以	比较合适
8	1号馆4楼 (144)	ゼミ	"学生发表, 在课前预习的情况下，进行讨论, 与观点不同的人讨论, 教授其他学生知识/通过其他学生习得知识"	女	4	非常有用	有点不便	比较舒适	没什么特别的	比较清晰		非常清楚	比较过大/过小	比较不合适	还可以	有点不好	比较好	比较容易说出	比较顺畅	非常强	还可以	没变化	比较强	比较不容易	有一些	比较有序	非常完备	有些难用	非常合适
9	情報文化学部C444	環境法セミナー（環境法政論セミナー）	学生发表	男	2	比较有用	感觉一般	比较舒适	比较舒适	非常清晰		还可以	比较合适	一般般	比较好	比较好	比较好	非常容易说出	比较顺畅	还可以	比较多	变强了一些	比较强	较为容易	比较不容易	比较有序	比较完备	比较容易	比较合适
10	環境総合館（環境講３）	持続可能発展論	"与观点不同的人讨论, 与其他学生配对进行课题"	女	5	比较有用	比较方便	比较舒适	比较舒适	还可以		比较清楚	一般偏好	还可以	比较好	非常好	比较好	比较容易说出	比较顺畅	还可以	还可以	变强了一点点	还可以	较为容易	比较不容易	比较有序	非常完备	非常容易	非常合适
11	C-444 (全学Ｃ４４４)	环境政治	"小组讨论, 学生发表, 在课前预习的情况下，进行讨论, 与观点不同的人讨论, 教授其他学生知识/通过其他学生习得知识"	女	3	非常有用	非常方便	比较舒适	比较舒适	比较清晰		非常清楚	非常合适	还可以	非常好	非常好	非常好	比较容易说出	比较顺畅	比较强	还可以	变强了一些	比较强	非常容易	比较不容易	比较有序	比较完备	比较容易	非常合适
12	ALEP（アジア法交流館）	IP law	"小组讨论, 学生发表, 在课前预习的情况下，进行讨论, 与观点不同的人讨论"	女	6	非常有用	非常方便	非常舒适	非常舒适	非常清晰		非常清楚	非常合适	非常合适	非常好	非常好	非常好	比较容易说出	比较顺畅	还可以	一般	变强了很多	比较强	非常容易	非常不容易	比较有序	非常完备	非常容易	非常合适
13	理学部B528	Transferable Skills Workshop	"小组讨论, 学生发表, 与观点不同的人讨论"	男	5	非常有用	非常方便	非常舒适	非常舒适	非常清晰		非常清楚	非常合适	非常合适	比较好	非常好	非常好	比较容易说出	非常顺畅	非常强	非常多	变强了一点点	比较强	非常容易	比较不容易	非常有序	非常完备	比较容易	非常合适
14	環境総合館716室(輪講室)	基礎セミナーA	"学生发表, 在课前预习的情况下，进行讨论, 与观点不同的人讨论, 与其他学生配对进行课题"	女	1	比较有用	比较方便	比较舒适	相对好一点	比较清晰		比较清楚	一般偏好	还可以	还可以	比较好	比较好	相对还算轻松	还可以	非常强	非常多	变强了一些	一般	还可以	一般	比较有序	基本满足要求	比较容易	没什么特别
15	情报文化334（全学Ｃ３４４）	上村ゼミ	"学生发表, 与观点不同的人讨论"	女	4	比较有用	比较方便	比较舒适	比较舒适	非常清晰		非常清楚	非常合适	非常合适	非常好	非常好	比较好	比较容易说出	比较顺畅	还可以	还可以	没变化	还可以	较为容易	比较不容易	比较有序	比较完备	比较容易	比较合适
16	es5f会议室	建筑计画	"学生发表, 教授其他学生知识/通过其他学生习得知识"	女	6	比较有用	感觉一般	比较舒适	非常舒适	非常清晰		还可以	比较合适	比较合适	非常好	非常好	还可以	比较容易说出	还可以	比较强	还可以	变强了一些	比较强	非常容易	比较不容易	非常有序	比较完备	还可以	没什么特别
17	314（環境講１）	丸山ゼミ 青木ゼミ	"学生发表, 在课前预习的情况下，进行讨论, 教授其他学生知识/通过其他学生习得知识, 与其他学生配对进行课题"	女	8	比较有用	比较方便	比较舒适	比较舒适	非常清晰		非常清楚	比较合适	比较合适	还可以	还可以	还可以	一般	还可以	还可以	一般	变强了一些	比较强	还可以	还可以	还可以	基本满足要求	比较容易	还可以
18	经济学教学楼	セミナー	"学生发表, 与观点不同的人讨论, 教授其他学生知识/通过其他学生习得知识"	女	5	非常有用	比较方便	非常舒适	非常舒适	非常清晰		非常清楚	比较合适	比较合适	非常好	比较好	比较好	相对还算轻松	还可以	还可以	还可以	变强了一些	还可以	较为容易	还可以	比较有序	非常完备	非常容易	非常合适
19	经济学科教学楼3楼？？？	セミナー	"小组讨论, 学生发表, 教授其他学生知识/通过其他学生习得知识"	男	7	非常有用	比较方便	非常舒适	比较舒适	比较清晰		比较清楚	比较合适	比较合适	比较好	比较好	比较好	相对还算轻松	还可以	还可以	还可以	变强了一点点	还可以	还可以	还可以	比较有序	比较完备	比较容易	非常合适
20	E演習室（教育学部002-3階）	cultural psychology	"学生发表, 与其他学生配对进行课题"	男	3	非常有用	非常方便	比较舒适	比较舒适	比较清晰		比较清楚	比较合适	比较合适	比较好	比较好	比较好	比较容易说出	比较顺畅	比较强	比较多	变强了一些	非常强	非常容易	有一点	非常有序	非常完备	非常容易	非常合适
21	文综合308	日本文学特殊研究	学生发表	女	9	比较有用	比较方便	非常舒适	非常舒适	还可以		比较清楚	一般偏好	一般般	还可以	比较好	一般	有点难以开口	一般	较差	没有太多	没变化	还可以	有点不容易	有一些	还可以	一般	还可以	比较合适
22	医系研究棟2号館	Seminar	学生发表	男	6	有一点用处	有一点方便	非常热/冷	相对好一点	比较清晰		还可以	一般偏好	还可以	还可以	还可以	还可以	相对还算轻松	还可以	还可以	还可以	变强了一点点	还可以	还可以	还可以	还可以	基本满足要求	还可以	还可以
